raceId,driverId,position,q1
59,8,3,1:13.887
59,31,4,1:14.483
59,22,5,1:14.766
59,15,6,1:14.883
59,14,7,1:15.090
59,3,8,1:14.888
59,21,9,1:14.614
59,23,10,1:14.412
59,32,11,1:14.489
59,24,12,1:15.314
59,18,13,1:15.085
59,35,14,1:15.316
59,2,15,1:15.324
59,27,16,1:15.598
59,33,17,1:15.993
59,26,18,1:16.236
59,11,19,1:17.276
59,36,20,1:17.502
59,13,21,\N
59,30,22,\N
60,4,1,1:21.018
60,8,2,1:21.648
60,30,3,1:22.096
60,13,4,1:21.647
60,21,5,1:22.411
60,22,6,1:22.965
60,23,7,1:22.886
60,31,8,1:22.169
60,2,9,1:21.670
60,35,10,1:21.637
60,14,11,1:22.424
60,3,12,1:23.083
60,24,13,1:22.685
60,32,14,1:22.773
60,26,15,1:22.541
60,33,16,1:22.860
60,17,17,1:23.129
60,27,18,1:23.210
60,18,19,1:23.247
60,11,20,1:26.158
60,36,21,1:26.316
60,15,22,\N
61,4,1,1:15.350
61,21,2,1:15.917
61,8,3,1:15.376
61,15,4,1:16.455
61,30,5,1:15.716
61,3,6,1:16.404
61,31,7,1:16.251
61,18,8,1:16.594
61,22,9,1:16.735
61,13,10,1:16.259
61,35,11,1:16.493
61,32,12,1:16.585
61,2,13,1:15.906
61,23,14,1:16.702
61,24,15,1:16.581
61,14,16,1:16.514
61,17,17,1:16.985
61,26,18,1:17.016
61,33,19,1:17.121
61,27,20,1:17.140
61,11,21,1:19.088
61,36,22,1:19.152
62,30,1,1:11.588
62,13,2,1:11.088
62,21,3,1:12.287
62,22,4,1:12.156
62,4,5,1:12.416
62,35,6,1:12.114
62,18,7,1:12.238
62,23,8,1:11.879
62,8,9,1:12.777
62,2,10,1:11.891
62,31,11,1:12.477
62,17,12,1:12.935
62,26,13,1:13.167
62,27,14,1:12.711
62,33,15,1:12.627
62,32,16,1:12.773
62,14,17,1:13.180
62,11,18,1:13.496
62,3,19,1:13.506
62,15,20,1:13.787
62,24,21,1:14.041
62,36,22,1:16.036
63,30,1,1:15.865
63,13,2,1:16.277
63,4,3,1:16.328
63,15,4,1:15.550
63,23,5,1:15.949
63,8,6,1:16.154
63,21,7,1:16.825
63,37,8,1:16.679
63,3,9,1:16.534
63,14,10,1:16.350
63,17,11,1:16.531
63,2,12,1:16.686
63,32,13,1:16.921
63,22,14,1:17.022
63,26,15,1:17.117
63,27,16,1:16.962
